treatment,date,stage,subject,picturechoice1,picturechoice2,picturechoice3,picturechoice4,picturechoice5,mytype,r1s1_giveA,r2s1_giveA,r3s1_giveA,r4s1_giveA,r5s1_giveA,r1s1_giveB,r2s1_giveB,r3s1_giveB,r4s1_giveB,r5s1_giveB,r1s2_giveA,r2s2_giveA,r3s2_giveA,r4s2_giveA,r5s2_giveA,r1s2_giveB,r2s2_giveB,r3s2_giveB,r4s2_giveB,r5s2_giveB,r1s3_giveA,r2s3_giveA,r3s3_giveA,r4s3_giveA,r5s3_giveA,r1s3_giveB,r2s3_giveB,r3s3_giveB,r4s3_giveB,r5s3_giveB,round,myrole,actforsame,actforother,mypayoff,opponentid,opponenttype,sametype,opponentrole,game,payoffA_Aout,payoffB_Aout,payoffA_Bact1,payoffB_Bact1,payoffA_Bact2,payoffB_Bact2,paintingawards,stage2_payoff,myrole(A/B),choice,subjectID
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,125.0,3.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,125.0,15.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B1,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,125.0,11.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,125.0,13.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,125.0,2.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,75.0,1.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,125.0,7.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,125.0,4.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B1,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,125.0,8.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,1000.0,16.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,75.0,6.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,,100.0,14.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A1,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,5.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,,0.0,7.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B2,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,6.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,400.0,15.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,1.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,3.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,2.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,16.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,,375.0,13.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B2,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,,0.0,14.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B2,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,12.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,11.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,2.0,,750.0,9.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A2,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,10.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,2.0,,400.0,4.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A2,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,8.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,6.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,12.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,4.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,3.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,14.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,1.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,13.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,900.0,10.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B1,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,16.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,8.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,15.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,2.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,7.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,5.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,11.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,9.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,4.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,350.0,15.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B2,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,450.0,11.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,0.0,1.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B2,050801NP-4
